10091,5234432112344321,1000006,ATM
10092,1234432112344321,1000008,ATM
10093,1234554321123451,1000006,POS
10094,8900988900988900,1000002,POS
10095,5456789123498765,10000011,ONLINE
10096,9876543211234567,1000000,ATM
10097,3234432112344321,1000000,POS
10098,4567899876545678,1000000,ATM
10099,4456789123498765,1000004,ONLINE
100910,1234432112344321,10000013,POS
100911,4234432112344321,1000005,ATM
100912,8900988900988900,1000003,ATM
100913,1234432112344321,1000005,ATM
100914,3456789123498765,1000005,ATM
100915,3234432112344321,10000013,ATM
100916,4234432112344321,1000001,POS
100917,8900988900988900,10000011,ONLINE
100918,5678876556788765,1000006,ATM
100919,5456789123498765,10000010,POS
100920,8900988900988900,1000000,ONLINE
100921,5234432112344321,1000004,ATM
100922,5678876556788765,10000010,ATM
100923,1234432112344321,1000004,ONLINE
100924,4567899876545678,1000000,ONLINE
100925,3234432112344321,1000004,ATM
100926,5456789123498765,1000002,ONLINE
100927,1234554321123451,10000014,POS
100928,4456789123498765,10000010,ONLINE
100929,3234432112344321,10000010,POS
100930,4567899876545678,10000010,ATM
100931,1234554321123451,1000000,POS
100932,3456789123498765,10000012,POS
100933,4456789123498765,1000008,ATM
100934,5234432112344321,10000014,ONLINE
100935,6234432112344321,1000004,POS
100936,9876543211234567,10000014,ONLINE
100937,5678876556788765,10000013,ATM
100938,5234432112344321,10000013,ATM
100939,3234432112344321,10000011,POS
100940,1234554321123451,1000005,ONLINE
100941,5234432112344321,1000006,ATM
100942,6456789123498765,1000007,ATM
100943,1234554321123451,1000002,ONLINE
100944,3456789123498765,1000003,POS
100945,6456789123498765,1000000,POS
100946,4567899876545678,1000008,POS
100947,5678876556788765,10000012,ATM
100948,4567899876545678,1000004,ATM
100949,1234554321123451,1000005,ATM
100950,3234432112344321,10000012,POS
100951,4234432112344321,10000013,POS
100952,9876543211234567,1000009,POS
100953,3456789123498765,1000008,ATM
100954,8900988900988900,10000012,ONLINE
100955,9876543211234567,1000004,ATM
100956,5234432112344321,1000007,ATM
100957,5456789123498765,10000013,ONLINE
100958,8900988900988900,10000010,ONLINE
100959,6456789123498765,10000011,POS
100960,9876543211234567,1000003,ONLINE
100961,2234432112344321,1000006,POS
100962,3234432112344321,10000010,POS
100963,5678876556788765,1000003,POS
100964,6234432112344321,1000004,POS
100965,2234432112344321,1000005,ATM
100966,5456789123498765,1000003,ONLINE
100967,6234432112344321,1000003,ATM
100968,4567899876545678,10000014,POS
100969,4456789123498765,1000002,ONLINE
100970,4567899876545678,1000003,ATM
100971,4234432112344321,1000001,POS
100972,4567899876545678,1000001,ATM
100973,4234432112344321,10000014,POS
100974,2234432112344321,1000004,ATM
100975,4234432112344321,10000013,ONLINE
100976,3234432112344321,10000011,ATM
100977,6456789123498765,1000004,ATM
100978,4456789123498765,10000014,ONLINE
100979,4456789123498765,1000001,ONLINE
100980,9876543211234567,10000010,POS
100981,3456789123498765,1000009,POS
100982,1234432112344321,1000003,ATM
100983,3456789123498765,1000001,POS
100984,4456789123498765,1000009,ONLINE
100985,1234554321123451,1000005,ONLINE
100986,3234432112344321,1000006,ONLINE
100987,4456789123498765,1000007,POS
100988,2234432112344321,1000007,ATM
100989,4567899876545678,1000007,ONLINE
100990,5456789123498765,1000000,ATM
100991,5456789123498765,10000011,POS
100992,9876543211234567,1000007,ONLINE
100993,5678876556788765,1000005,ONLINE
100994,3234432112344321,10000010,ONLINE
100995,9876543211234567,1000006,ONLINE
100996,2234432112344321,1000009,ONLINE
100997,1234554321123451,10000012,ATM
100998,4456789123498765,10000013,ONLINE
